Block Type;96well;;;
Chemistry;SYBR_GREEN;;;
Experiment File Name;D:\Documents and Settings\INSTR-ADMIN\My Documents\LukaszL_qPCR\miRNA_2-1.eds;;;
Experiment Run End Time;2017-06-16 11:25:46 AM CEST;;;
Instrument Type;steponeplus;;;
Passive Reference;;;;
;;;;
Well;Cycle;Target Name;Rn;?Rn
A10;37;Target 1;15186,32617;223,4120941
A10;38;Target 1;15116,83008;195,3400726
A10;39;Target 1;14963,12402;83,05808258
A10;40;Target 1;14906,58398;67,94210815
A11;1;Target 1;26517,79297;-192,7907257
A11;2;Target 1;26714,97656;-6,221493244
A11;3;Target 1;26699,05273;-32,7596817
A11;4;Target 1;26772,24805;29,82126808
A11;5;Target 1;26987,10938;234,0682373
A11;6;Target 1;26913,18359;149,5280914
A11;7;Target 1;26952,05078;177,7809143
A11;8;Target 1;26808,95508;24,07085228
A11;9;Target 1;26821,10938;25,61078835
A11;10;Target 1;26781,47266;-24,64029121
A11;11;Target 1;26677,77734;-138,9499664
A11;12;Target 1;26832,67383;5,332156658
A11;13;Target 1;26661,09375;-176,8622894
A11;14;Target 1;26765,82617;-82,74422455
A11;15;Target 1;26719,83984;-139,3449097
A11;16;Target 1;26812,93359;-56,86552429
A11;17;Target 1;26801,02344;-79,39004517
A11;18;Target 1;26788,44141;-102,5864334
A11;19;Target 1;26771,22266;-130,4195404
A11;20;Target 1;26927,11328;14,85671711
A11;21;Target 1;26818,99219;-103,8787384
A11;22;Target 1;26851,92578;-81,55950928
A11;23;Target 1;26908,17383;-35,9258194
A11;24;Target 1;27054,875;100,1609879
A11;25;Target 1;26945,87891;-19,4494648
A11;26;Target 1;26955,98047;-19,96226501
A11;27;Target 1;27003,32422;16,76712418
A11;28;Target 1;27229,8457;232,6742401
A11;29;Target 1;27222,45313;214,6673126
A11;30;Target 1;27214,16406;195,7638855
A11;31;Target 1;27292,96094;263,9464111
A11;32;Target 1;27544,20703;504,578125
A11;33;Target 1;27778,98047;728,7371826
A11;34;Target 1;28321,03516;1260,17749
A11;35;Target 1;29139,53906;2068,067139
A11;36;Target 1;30746,73047;3664,644043
A11;37;Target 1;33914,43359;6821,73291
A11;38;Target 1;39592,03125;12488,71582
A11;39;Target 1;50238,99219;23125,0625
A11;40;Target 1;68107,53906;40982,99609
A12;1;Target 1;30147,99805;-1350,794434
A12;2;Target 1;30345,10938;-1177,336182
A12;3;Target 1;30625,54297;-920,5556641
A12;4;Target 1;30946,62891;-623,1228027
A12;5;Target 1;31307,92188;-285,4829102
A12;6;Target 1;31574,56641;-42,49144363
A12;7;Target 1;31768,27344;127,5625153
A12;8;Target 1;32014,51758;350,153595
A12;9;Target 1;32175,08398;487,066925
A12;10;Target 1;32193,41016;481,7400208
A12;11;Target 1;32204,79688;469,4736633
A12;12;Target 1;32099,04688;340,0706177
A12;13;Target 1;32179,74414;397,1148071
A12;14;Target 1;31996,10352;189,821106
A12;15;Target 1;31990,3457;160,4102173
A12;16;Target 1;31950,24609;96,65753937
A12;17;Target 1;31891,98047;14,73884487
